CardNumber,Name,Artist,Color,Rarity,Set
42,Valiant Knight,Jakub Kasper,White,R,Core Set 2019
43,Aether Tunnel,Lucas Graciano,Blue,U,Core Set 2019
44,Anticipate,Tyler Jacobson,Blue,C,Core Set 2019
45,Aven Wind Mage,Lius Lasahido,Blue,C,Core Set 2019
46,Aviation Pioneer,Lake Hurwitz,Blue,C,Core Set 2019
47,Bone to Ash,Clint Cearley,Blue,U,Core Set 2019
48,Cancel,Mathias Kollros,Blue,C,Core Set 2019
49,Departed Deckhand,Zoltan Boros,Blue,U,Core Set 2019
50,Disperse,Ryan Yee,Blue,C,Core Set 2019
51,Divination,Willian Murai,Blue,C,Core Set 2019
52,Djinn of Wishes,Kev Walker,Blue,R,Core Set 2019
53,Dwindle,Ryan Pancoast,Blue,C,Core Set 2019
54,Essence Scatter,Josh Hass,Blue,C,Core Set 2019
55,Exclusion Mage,Chris Seaman,Blue,U,Core Set 2019
56,Frilled Sea Serpent,Steven Belledin,Blue,C,Core Set 2019
57,Gearsmith Prodigy,Deruchenko Alexander,Blue,C,Core Set 2019
58,Ghostform,Scott Chou,Blue,C,Core Set 2019
59,Horizon Scholar,Karl Kopinski,Blue,U,Core Set 2019
60,Metamorphic Alteration,Livia Prima,Blue,R,Core Set 2019
61,Mirror Image,Randy Vargas,Blue,U,Core Set 2019
62,Mistcaller,Ryan Yee,Blue,R,Core Set 2019
63,Mystic Archaeologist,Eric Deschamps,Blue,R,Core Set 2019
64,Omenspeaker,Dallas Williams,Blue,C,Core Set 2019
65,Omniscience,Jason Chan,Blue,M,Core Set 2019
66,One with the Machine,Chase Stone,Blue,R,Core Set 2019
67,Patient Rebuilding,Magali Villeneuve,Blue,R,Core Set 2019
68,Psychic Corrosion,Bastien L. Deharme,Blue,U,Core Set 2019
69,"Sai, Master Thopterist",Adam Paquette,Blue,R,Core Set 2019
70,Salvager of Secrets,Lars Grant-West,Blue,C,Core Set 2019
71,Scholar of Stars,Tommy Arnold,Blue,C,Core Set 2019
72,Sift,Jeremy Jarvis,Blue,U,Core Set 2019
73,Skilled Animator,Jason A. Engle,Blue,U,Core Set 2019
74,Sleep,Chris Rahn,Blue,U,Core Set 2019
75,Snapping Drake,Todd Lockwood,Blue,C,Core Set 2019
76,Supreme Phantom,Robbie Trevino,Blue,R,Core Set 2019
77,Surge Mare,Sam Rowan,Blue,U,Core Set 2019
78,Switcheroo,Kev Walker,Blue,U,Core Set 2019
79,"Tezzeret, Artifice Master",Josh Hass,Blue,M,Core Set 2019
80,Tolarian Scholar,Sara Winters,Blue,C,Core Set 2019
81,Totally Lost,David Palumbo,Blue,C,Core Set 2019
82,Uncomfortable Chill,Izzy,Blue,C,Core Set 2019
83,Wall of Mist,Dimitar Marinski,Blue,C,Core Set 2019
84,Windreader Sphinx,Min Yum,Blue,R,Core Set 2019
85,Abnormal Endurance,Tomasz Jedruszek,Black,C,Core Set 2019
86,Blood Divination,Filip Burburan,Black,U,Core Set 2019
87,Bogstomper,Jason Felix,Black,C,Core Set 2019
88,Bone Dragon,Jason A. Engle,Black,M,Core Set 2019
89,Child of Night,Ash Wood,Black,C,Core Set 2019
90,Death Baron,Nils Hamm,Black,R,Core Set 2019
91,Demon of Catastrophes,Sidharth Chaturvedi,Black,R,Core Set 2019
92,Diregraf Ghoul,Dave Kendall,Black,U,Core Set 2019
93,Doomed Dissenter,Tony Foti,Black,C,Core Set 2019
94,Duress,Steven Belledin,Black,C,Core Set 2019
95,Epicure of Blood,Anna Steinbauer,Black,C,Core Set 2019
96,Fell Specter,Dimitar Marinski,Black,U,Core Set 2019
97,Fraying Omnipotence,Svetlin Velinov,Black,R,Core Set 2019
98,Gravedigger,Dermot Power,Black,U,Core Set 2019
99,Graveyard Marshal,Mark Behm,Black,R,Core Set 2019
100,Hired Blade,Mark Behm,Black,C,Core Set 2019
101,Infectious Horror,Pete Venters,Black,C,Core Set 2019
102,Infernal Reckoning,Bram Sels,Black,R,Core Set 2019
103,Infernal Scarring,Mike Bierek,Black,C,Core Set 2019
104,Isareth the Awakener,Jason Rainville,Black,R,Core Set 2019
105,Lich's Caress,Josh Hass,Black,C,Core Set 2019
106,"Liliana, Untouched by Death",Bastien L. Deharme,Black,M,Core Set 2019
107,Liliana's Contract,Bastien L. Deharme,Black,R,Core Set 2019
108,Macabre Waltz,Willian Murai,Black,C,Core Set 2019
109,Mind Rot,Seb McKinnon,Black,C,Core Set 2019
110,Murder,Tyler Jacobson,Black,U,Core Set 2019
111,Nightmare's Thirst,Igor Kieryluk,Black,U,Core Set 2019
112,Open the Graves,Vincent Proce,Black,R,Core Set 2019
113,Phylactery Lich,Michael Komarck,Black,R,Core Set 2019
114,Plague Mare,G-host Lee,Black,U,Core Set 2019
115,Ravenous Harpy,Sam Rowan,Black,U,Core Set 2019
116,Reassembling Skeleton,Austin Hsu,Black,U,Core Set 2019
117,Rise from the Grave,Kieran Yanner,Black,U,Core Set 2019
118,Skeleton Archer,Randy Vargas,Black,C,Core Set 2019
119,Skymarch Bloodletter,Tomasz Jedruszek,Black,C,Core Set 2019
120,Sovereign's Bite,Volkan Baga,Black,C,Core Set 2019
121,Stitcher's Supplier,Chris Seaman,Black,U,Core Set 2019
122,Strangling Spores,Jason A. Engle,Black,C,Core Set 2019
123,Two-Headed Zombie,Josh Hass,Black,C,Core Set 2019
124,Vampire Neonate,Daarken,Black,C,Core Set 2019
125,Vampire Sovereign,Volkan Baga,Black,U,Core Set 2019
126,Walking Corpse,Igor Kieryluk,Black,C,Core Set 2019
127,Act of Treason,Eric Deschamps,Red,C,Core Set 2019
128,Alpine Moon,Alayna Danner,Red,R,Core Set 2019
129,Apex of Power,Svetlin Velinov,Red,M,Core Set 2019
130,Banefire,Raymond Swanland,Red,R,Core Set 2019
131,Boggart Brute,Igor Kieryluk,Red,C,Core Set 2019
132,Catalyst Elemental,Deruchenko Alexander,Red,C,Core Set 2019
133,Crash Through,Izzy,Red,C,Core Set 2019
134,Dark-Dweller Oracle,Deruchenko Alexander,Red,R,Core Set 2019
135,Demanding Dragon,Chris Rahn,Red,R,Core Set 2019
136,Dismissive Pyromancer,Bram Sels,Red,R,Core Set 2019
137,Doublecast,Even Amundsen,Red,U,Core Set 2019
138,Dragon Egg,Jack Wang,Red,U,Core Set 2019
139,Electrify,Craig J Spearing,Red,C,Core Set 2019
140,Fiery Finish,Joe Slucher,Red,U,Core Set 2019
141,Fire Elemental,Slawomir Maniak,Red,C,Core Set 2019
142,Goblin Instigator,Filip Burburan,Red,C,Core Set 2019
143,Goblin Motivator,Johann Bodin,Red,C,Core Set 2019
144,Goblin Trashmaster,Jakub Kasper,Red,R,Core Set 2019
145,Guttersnipe,Mathias Kollros,Red,U,Core Set 2019
146,Havoc Devils,Viktor Titov,Red,C,Core Set 2019
147,Hostile Minotaur,Joe Slucher,Red,C,Core Set 2019
148,Inferno Hellion,Jason A. Engle,Red,U,Core Set 2019
149,"Lathliss, Dragon Queen",Alex Konstad,Red,R,Core Set 2019
150,Lava Axe,Brian Snoddy,Red,C,Core Set 2019
151,Lightning Mare,Lucas Graciano,Red,U,Core Set 2019
152,Lightning Strike,Adam Paquette,Red,U,Core Set 2019
153,Onakke Ogre,Mathias Kollros,Red,C,Core Set 2019
154,"Sarkhan, Fireblood",Grzegorz Rutkowski,Red,M,Core Set 2019
155,Sarkhan's Unsealing,Daarken,Red,R,Core Set 2019
156,Shock,Jason Rainville,Red,C,Core Set 2019
157,Siegebreaker Giant,Even Amundsen,Red,U,Core Set 2019
158,Smelt,Zoltan Boros,Red,C,Core Set 2019
159,Sparktongue Dragon,Daarken,Red,C,Core Set 2019
160,Spit Flame,Chris Rahn,Red,R,Core Set 2019
161,Sure Strike,Jakub Kasper,Red,C,Core Set 2019
162,Tectonic Rift,John Avon,Red,U,Core Set 2019
163,Thud,Kev Walker,Red,U,Core Set 2019
164,Tormenting Voice,Volkan Baga,Red,C,Core Set 2019
165,Trumpet Blast,Steve Prescott,Red,C,Core Set 2019
166,Viashino Pyromancer,Jesper Ejsing,Red,C,Core Set 2019
167,Volcanic Dragon,Chris Rahn,Red,U,Core Set 2019
168,Volley Veteran,Craig J Spearing,Red,U,Core Set 2019
169,Blanchwood Armor,Parente,Green,U,Core Set 2019
170,Bristling Boar,Svetlin Velinov,Green,C,Core Set 2019
171,Centaur Courser,Vance Kovacs,Green,C,Core Set 2019
172,Colossal Dreadmaw,Jesper Ejsing,Green,C,Core Set 2019
173,Colossal Majesty,Randy Vargas,Green,U,Core Set 2019
174,Daggerback Basilisk,Jesper Ejsing,Green,C,Core Set 2019
175,Declare Dominance,Simon Dominic,Green,U,Core Set 2019
176,Druid of Horns,Nils Hamm,Green,U,Core Set 2019
177,Druid of the Cowl,Magali Villeneuve,Green,C,Core Set 2019
178,Dryad Greenseeker,Greg Opalinski,Green,U,Core Set 2019
179,Elvish Clancaller,Matt Stewart,Green,R,Core Set 2019
180,Elvish Rejuvenator,Winona Nelson,Green,C,Core Set 2019
181,Ghastbark Twins,Zack Stella,Green,U,Core Set 2019
182,Ghirapur Guide,Scott Murphy,Green,U,Core Set 2019
183,Giant Spider,Randy Gallegos,Green,C,Core Set 2019
184,Gift of Paradise,Ryan Pancoast,Green,U,Core Set 2019
185,Gigantosaurus,Jonathan Kuo,Green,R,Core Set 2019
186,"Goreclaw, Terror of Qal Sisma",Svetlin Velinov,Green,R,Core Set 2019
187,Greenwood Sentinel,Johann Bodin,Green,C,Core Set 2019
188,Highland Game,John Severin Brassell,Green,C,Core Set 2019
189,Hungering Hydra,Daarken,Green,R,Core Set 2019
190,Naturalize,Daniel Ljunggren,Green,C,Core Set 2019
191,Oakenform,Wayne Reynolds,Green,C,Core Set 2019
192,Pelakka Wurm,Daniel Ljunggren,Green,R,Core Set 2019
193,Plummet,Pete Venters,Green,C,Core Set 2019
194,Prodigious Growth,Svetlin Velinov,Green,R,Core Set 2019
195,Rabid Bite,Karl Kopinski,Green,C,Core Set 2019
196,Reclamation Sage,Christopher Moeller,Green,U,Core Set 2019
197,Recollect,Pete Venters,Green,U,Core Set 2019
198,Rhox Oracle,Dan Scott,Green,C,Core Set 2019
199,Root Snare,Mitchell Malloy,Green,C,Core Set 2019
200,Runic Armasaur,Randy Vargas,Green,R,Core Set 2019
201,Scapeshift,Daniel Ljunggren,Green,M,Core Set 2019
202,Talons of Wildwood,Uriah Voth,Green,C,Core Set 2019
203,Thorn Lieutenant,Uriah Voth,Green,R,Core Set 2019
204,Thornhide Wolves,Scott Murphy,Green,C,Core Set 2019
205,Titanic Growth,Ryan Pancoast,Green,C,Core Set 2019
206,Vigilant Baloth,Uriah Voth,Green,U,Core Set 2019
207,Vine Mare,Alex Konstad,Green,U,Core Set 2019
208,Vivien Reid,Anna Steinbauer,Green,M,Core Set 2019
209,Vivien's Invocation,Johannes Voss,Green,R,Core Set 2019
210,Wall of Vines,John Stanko,Green,C,Core Set 2019
211,Aerial Engineer,Zoltan Boros,White/Blue,U,Core Set 2019
212,"Arcades, the Strategist",Even Amundsen,White/Blue/Green,M,Core Set 2019
213,Brawl-Bash Ogre,Even Amundsen,Black/Red,U,Core Set 2019
214,"Chromium, the Mutable",Chase Stone,White/Blue/Black,M,Core Set 2019
215,Draconic Disciple,Yongjae Choi,Red/Green,U,Core Set 2019
216,Enigma Drake,Steve Argyle,Blue/Red,U,Core Set 2019
217,Heroic Reinforcements,Scott Murphy,White/Red,U,Core Set 2019
218,"Nicol Bolas, the Ravager",Svetlin Velinov,Blue/Black/Red,M,Core Set 2019
218,"Nicol Bolas, the Arisen",Svetlin Velinov,Blue/Black/Red,M,Core Set 2019
219,"Palladia-Mors, the Ruiner",Svetlin Velinov,White/Red/Green,M,Core Set 2019
220,Poison-Tip Archer,Dmitry Burmak,Black/Green,U,Core Set 2019
221,Psychic Symbiont,Robbie Trevino,Blue/Black,U,Core Set 2019
222,Regal Bloodlord,Winona Nelson,White/Black,U,Core Set 2019
223,Satyr Enchanter,Sidharth Chaturvedi,White/Green,U,Core Set 2019
224,Skyrider Patrol,Mitchell Malloy,Blue/Green,U,Core Set 2019
225,"Vaevictis Asmadi, the Dire",Steven Belledin,Black/Red/Green,M,Core Set 2019
226,Amulet of Safekeeping,Aaron Miller,,R,Core Set 2019
227,Arcane Encyclopedia,Nic Klein,,U,Core Set 2019
228,Chaos Wand,Kari Christensen,,R,Core Set 2019
229,Crucible of Worlds,Ron Spencer,,M,Core Set 2019
230,Desecrated Tomb,Dimitar Marinski,,R,Core Set 2019
231,Diamond Mare,Alayna Danner,,U,Core Set 2019
232,Dragon's Hoard,Adam Paquette,,R,Core Set 2019
233,Explosive Apparatus,Lindsey Look,,C,Core Set 2019
234,Field Creeper,Anthony Palumbo,,C,Core Set 2019
235,Fountain of Renewal,Adam Paquette,,U,Core Set 2019
236,Gargoyle Sentinel,Drew Baker,,U,Core Set 2019
237,Gearsmith Guardian,Deruchenko Alexander,,C,Core Set 2019
238,Magistrate's Scepter,Adam Rex,,R,Core Set 2019
239,Manalith,Ryan Yee,,C,Core Set 2019
240,Marauder's Axe,Mitchell Malloy,,C,Core Set 2019
241,Meteor Golem,Lake Hurwitz,,U,Core Set 2019
242,Millstone,Yeong-Hao Han,,U,Core Set 2019
243,Rogue's Gloves,Cyril Van Der Haegen,,U,Core Set 2019
244,Sigiled Sword of Valeron,John Stanko,,R,Core Set 2019
245,Skyscanner,Adam Paquette,,C,Core Set 2019
246,Suspicious Bookcase,Anastasia Ovchinnikova,,U,Core Set 2019
247,Transmogrifying Wand,Aaron Miller,,R,Core Set 2019
248,Cinder Barrens,Titus Lunter,,C,Core Set 2019
249,Detection Tower,Adam Paquette,,R,Core Set 2019
250,Forsaken Sanctuary,Vincent Proce,,C,Core Set 2019
251,Foul Orchard,Yeong-Hao Han,,C,Core Set 2019
252,Highland Lake,Noah Bradley,,C,Core Set 2019
253,Meandering River,Cliff Childs,,C,Core Set 2019
254,Reliquary Tower,Jesper Ejsing,,U,Core Set 2019
255,Rupture Spire,Jaime Jones,,U,Core Set 2019
256,Stone Quarry,Efflam Mercier,,C,Core Set 2019
257,Submerged Boneyard,Cliff Childs,,C,Core Set 2019
258,Timber Gorge,Cliff Childs,,C,Core Set 2019
259,Tranquil Expanse,Sam Burley,,C,Core Set 2019
260,Woodland Stream,Efflam Mercier,,C,Core Set 2019
261,Plains,John Avon,,L,Core Set 2019
262,Plains,Zoltan Boros & Gabor Szikszai,,L,Core Set 2019
263,Plains,Nils Hamm,,L,Core Set 2019
264,Plains,Andreas Rocha,,L,Core Set 2019
265,Island,Cliff Childs,,L,Core Set 2019
266,Island,Chippy,,L,Core Set 2019
267,Island,Jonas De Ro,,L,Core Set 2019
268,Island,Andreas Rocha,,L,Core Set 2019
269,Swamp,Mike Bierek,,L,Core Set 2019
270,Swamp,Cliff Childs,,L,Core Set 2019
271,Swamp,Christine Choi,,L,Core Set 2019
272,Swamp,Mark Poole,,L,Core Set 2019
273,Mountain,Noah Bradley,,L,Core Set 2019
274,Mountain,Cliff Childs,,L,Core Set 2019
275,Mountain,Jonas De Ro,,L,Core Set 2019
276,Mountain,Andreas Rocha,,L,Core Set 2019
277,Forest,Volkan Baga,,L,Core Set 2019
278,Forest,Steven Belledin,,L,Core Set 2019
279,Forest,Jonas De Ro,,L,Core Set 2019
280,Forest,Adam Paquette,,L,Core Set 2019
281,"Ajani, Wise Counselor",Eric Deschamps,White,M,Core Set 2019
282,Ajani's Influence,Sidharth Chaturvedi,White,R,Core Set 2019
283,Court Cleric,Mark Behm,White,U,Core Set 2019
284,Serra's Guardian,Magali Villeneuve,White,R,Core Set 2019
285,Silverbeak Griffin,Viktor Titov,White,C,Core Set 2019
286,"Tezzeret, Cruel Machinist",Zack Stella,Blue,M,Core Set 2019
287,Riddlemaster Sphinx,Ryan Yee,Blue,R,Core Set 2019
288,Pendulum of Patterns,Raoul Vitale,,C,Core Set 2019
289,Tezzeret's Gatebreaker,Mathias Kollros,,R,Core Set 2019
290,Tezzeret's Strider,Zack Stella,,U,Core Set 2019
291,"Liliana, the Necromancer",Livia Prima,Black,M,Core Set 2019
292,Arisen Gorgon,Livia Prima,Black,U,Core Set 2019
293,Gravewaker,Daniel Ljunggren,Black,R,Core Set 2019
294,Liliana's Spoils,Tyler Jacobson,Black,R,Core Set 2019
295,Tattered Mummy,Slawomir Maniak,Black,C,Core Set 2019
296,"Sarkhan, Dragonsoul",Yongjae Choi,Red,M,Core Set 2019
297,Kargan Dragonrider,Greg Opalinski,Red,C,Core Set 2019
298,Sarkhan's Dragonfire,Daarken,Red,R,Core Set 2019
299,Sarkhan's Whelp,Craig J Spearing,Red,U,Core Set 2019
300,Shivan Dragon,Donato Giancola,Red,R,Core Set 2019
301,Vivien of the Arkbow,Magali Villeneuve,Green,M,Core Set 2019
302,Aggressive Mammoth,Filip Burburan,Green,R,Core Set 2019
303,Skalla Wolf,Lius Lasahido,Green,R,Core Set 2019
304,Ursine Champion,Alex Konstad,Green,C,Core Set 2019
305,Vivien's Jaguar,Magali Villeneuve,Green,U,Core Set 2019
306,Nexus of Fate,Mike Bierek,Blue,M,Core Set 2019
307,Sun Sentinel,James Ryman,White,C,Core Set 2019
308,Air Elemental,Tomasz Jedruszek,Blue,U,Core Set 2019
309,Befuddle,Svetlin Velinov,Blue,C,Core Set 2019
310,Mist-Cloaked Herald,Anthony Palumbo,Blue,C,Core Set 2019
311,Waterknot,Wayne Reynolds,Blue,C,Core Set 2019
312,Grasping Scoundrel,Steve Prescott,Black,C,Core Set 2019
313,Radiating Lightning,Suzanne Helmigh,Red,C,Core Set 2019
314,Llanowar Elves,Chris Rahn,Green,C,Core Set 2019
